Team Name,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK
Atlanta Hawks,29,14,15,0.483,9,2
Boston Celtics,29,22,7,0.759,1,1
Cleveland Cavaliers,29,18,11,0.621,3,2
New Orleans Pelicans,28,18,10,0.643,2,2
Chicago Bulls,27,11,16,0.407,11,4
Dallas Mavericks,28,14,14,0.5,9,3
Denver Nuggets,27,17,10,0.63,3,1
Golden State Warriors,29,14,15,0.483,10,4
Houston Rockets,28,9,19,0.321,15,5
Los Angeles Clippers,30,17,13,0.567,6,2
Los Angeles Lakers,27,11,16,0.407,12,5
Miami Heat,30,15,15,0.5,8,1
Milwaukee Bucks,28,20,8,0.714,2,1
Minnesota Timberwolves,28,13,15,0.464,11,4
Brooklyn Nets,29,17,12,0.586,4,2
New York Knicks,28,15,13,0.536,6,4
Orlando Magic,29,9,20,0.31,13,4
Indiana Pacers,29,15,14,0.517,7,3
Philadelphia 76ers,27,15,12,0.556,5,3
Phoenix Suns,28,16,12,0.571,5,1
Portland Trail Blazers,28,16,12,0.571,4,2
Sacramento Kings,27,15,12,0.556,7,3
San Antonio Spurs,28,9,19,0.321,14,4
Oklahoma City Thunder,28,11,17,0.393,13,5
Toronto Raptors,28,13,15,0.464,10,5
Utah Jazz,31,17,14,0.548,8,3
Memphis Grizzlies,28,19,9,0.679,1,1
Washington Wizards,29,11,18,0.379,12,3
Detroit Pistons,30,8,22,0.267,14,5
Charlotte Hornets,28,7,21,0.25,15,5
